   h    k    l      d (Å)      F(real)      F(imag)          |F|         2θ          I    M
   2    5   -2   2.660917   -60.419147     0.000000      60.4191   53.85355    2.49830    4
   1    6    1   2.657348    25.960636     0.000000      25.9606   53.93172    0.46016    4
   3    1   -1   2.642108    54.917950     0.000000       54.918   54.26828    2.03875    4
   3    1   -3   2.640768   -82.885764    -0.000000      82.8858   54.29808    4.63994    4
   2    4   -4   2.634614    22.706346     0.000000      22.7063   54.43538    0.34681    4
   1    3    4   2.625400     6.329275     0.000000      6.32927   54.64232    0.02678    4
   0    3    5   2.624403    86.025048    -0.000000       86.025   54.66481    4.94445    4
   1    5   -4   2.617616    24.515822     0.000000      24.5158   54.81844    0.39977    4
   2    5    0   2.604971    14.531847    -0.000000      14.5318   55.10707    0.13929    4
   1    0   -6   2.598849     8.368710     0.000000      8.36871   55.24795    0.02300    2
   3    2   -2   2.598312   -50.567972     0.000000       50.568   55.26033    1.67925    4
   2    1    3   2.574401    30.453860    -0.000000      30.4539   55.81819    0.59942    4
   1    1   -6   2.571585    22.411854     0.000000      22.4119   55.88467    0.32403    4
   2    3   -5   2.568256    28.051548    -0.000000      28.0515   55.96345    0.50650    4
   2    5   -3   2.563414   -12.637974    -0.000000       12.638   56.07850    0.10247    4
   3    2   -1   2.558893    19.914324    -0.000000      19.9143   56.18634    0.25367    4
   3    2   -3   2.557676     3.167876    -0.000000      3.16788   56.21545    0.00641    4
   1    4   -5   2.553402   -82.342536    -0.000000      82.3425   56.31794    4.32105    4
   0    5    4   2.551164    33.454912     0.000000      33.4549   56.37175    0.71221    4
   3    0    0   2.547931   130.150399     0.000000       130.15   56.44966    5.37783    2
   1    6   -3   2.546856    61.253822    -0.000000      61.2538   56.47564    2.38067    4
   3    0   -4   2.545530    94.699968     0.000000         94.7   56.50769    2.84259    2
   0    6    3   2.534574   -23.355239     0.000000      23.3552   56.77407    0.34325    4
   1    5    3   2.526388   -27.706306     0.000000      27.7063   56.97480    0.48040    4
   3    1    0   2.522223   -11.618750     0.000000      11.6188   57.07753    0.08424    4
   3    1   -4   2.519893   -17.507687     0.000000      17.5077   57.13514    0.19098    4
   0    7    1   2.505301   -33.944031     0.000000       33.944   57.49887    0.71085    4
   2    2    3   2.497238    24.648281    -0.000000      24.6483   57.70194    0.37277    4
   1    2   -6   2.494668    24.874017     0.000000       24.874   57.76700    0.37897    4
