   h    k    l      d (Å)      F(real)      F(imag)          |F|         2θ          I    M
   6   10    5   0.899960    15.547066    -0.000000      15.5471   -1.#IND0   -1.#IND0    4
   6   14    0   0.899931    24.161665    -0.000000      24.1617   -1.#IND0   -1.#IND0    4
   3   13  -13   0.899868    10.602779     0.000000      10.6028   -1.#IND0   -1.#IND0    4
   5   16    0   0.899530   -11.536688     0.000000      11.5367   -1.#IND0   -1.#IND0    4
   6   14   -8   0.899508     6.227326    -0.000000      6.22733   -1.#IND0   -1.#IND0    4
   2    3  -17   0.899494     8.512854     0.000000      8.51285   -1.#IND0   -1.#IND0    4
   3    4   13   0.899489    -8.720740    -0.000000      8.72074   -1.#IND0   -1.#IND0    4
   9    2   -5   0.899279     6.047788     0.000000      6.04779   -1.#IND0   -1.#IND0    4
   5   12    6   0.899235    15.598313    -0.000000      15.5983   -1.#IND0   -1.#IND0    4
   2    5   14   0.899230    -9.426201     0.000000       9.4262   -1.#IND0   -1.#IND0    4
   4   16   -9   0.899169    12.070343    -0.000000      12.0703   -1.#IND0   -1.#IND0    4
   9    2   -7   0.899121     6.802492     0.000000      6.80249   -1.#IND0   -1.#IND0    4
   5   15   -9   0.899039   -10.209590     0.000000      10.2096   -1.#IND0   -1.#IND0    4
   6   10  -13   0.899007     0.935184     0.000000     0.935184   -1.#IND0   -1.#IND0    4
   9    0   -4   0.898854    25.114222     0.000000      25.1142   -1.#IND0   -1.#IND0    2
   3    4  -17   0.898696     0.000910    -0.000000  0.000909972   -1.#IND0   -1.#IND0    4
   9    0   -8   0.898537    10.045555     0.000000      10.0456   -1.#IND0   -1.#IND0    2
   3   10   11   0.898158    10.107634     0.000000      10.1076   -1.#IND0   -1.#IND0    4
   5    7    9   0.897986    -0.018825     0.000000    0.0188249   -1.#IND0   -1.#IND0    4
   1    5   15   0.897972    10.734683    -0.000000      10.7347   -1.#IND0   -1.#IND0    4
   9    1   -4   0.897710    -3.926736     0.000000      3.92674   -1.#IND0   -1.#IND0    4
   5    6  -16   0.897651    18.505663     0.000000      18.5057   -1.#IND0   -1.#IND0    4
   4   17   -7   0.897609     2.256836    -0.000000      2.25684   -1.#IND0   -1.#IND0    4
   6    3    8   0.897545    -4.026342     0.000000      4.02634   -1.#IND0   -1.#IND0    4
   7    1  -15   0.897515    -2.830401     0.000000       2.8304   -1.#IND0   -1.#IND0    4
   3   10  -15   0.897474     0.012077     0.000000    0.0120769   -1.#IND0   -1.#IND0    4
   8    3    2   0.897400     1.148729     0.000000      1.14873   -1.#IND0   -1.#IND0    4
   9    1   -8   0.897395    -6.709013    -0.000000      6.70901   -1.#IND0   -1.#IND0    4
   7    7    4   0.897390     4.895680    -0.000000      4.89568   -1.#IND0   -1.#IND0    4
   7   10  -11   0.897386   -14.348269    -0.000000      14.3483   -1.#IND0   -1.#IND0    4
   3   16    6   0.897352     4.649952    -0.000000      4.64995   -1.#IND0   -1.#IND0    4
   1   19   -5   0.897211     0.708648     0.000000     0.708648   -1.#IND0   -1.#IND0    4
   6   13    2   0.897059    -4.225244     0.000000      4.22524   -1.#IND0   -1.#IND0    4
   8    1  -13   0.897033     5.464789     0.000000      5.46479   -1.#IND0   -1.#IND0    4
   3   16  -10   0.896932    14.192790    -0.000000      14.1928   -1.#IND0   -1.#IND0    4
   0   12   13   0.896597    11.088909     0.000000      11.0889   -1.#IND0   -1.#IND0    4
   8    9   -3   0.896523     8.333023    -0.000000      8.33302   -1.#IND0   -1.#IND0    4
   4    0   12   0.896461     9.485789    -0.000000      9.48579   -1.#IND0   -1.#IND0    2
   6   13  -10   0.896430   -24.065590     0.000000      24.0656   -1.#IND0   -1.#IND0    4
   7   12   -8   0.896343    12.417820     0.000000      12.4178   -1.#IND0   -1.#IND0    4
   4    9   10   0.896291    24.212617    -0.000000      24.2126   -1.#IND0   -1.#IND0    4
   6    3  -16   0.896286   -11.206045    -0.000000       11.206   -1.#IND0   -1.#IND0    4
   1   18    6   0.896182    12.696814    -0.000000      12.6968   -1.#IND0   -1.#IND0    4
   5   14    4   0.896107    12.481177    -0.000000      12.4812   -1.#IND0   -1.#IND0    4
   7    9  -12   0.895928   -12.471154    -0.000000      12.4712   -1.#IND0   -1.#IND0    4
   0    4   16   0.895725    -3.180591    -0.000000      3.18059   -1.#IND0   -1.#IND0    4
   2   17   -9   0.895395     3.864387    -0.000000      3.86439   -1.#IND0   -1.#IND0    4
   4    1   12   0.895327    -1.001509    -0.000000      1.00151   -1.#IND0   -1.#IND0    4
   5   16   -7   0.895285   -10.597782    -0.000000      10.5978   -1.#IND0   -1.#IND0    4
   9    3   -6   0.895189     3.526244    -0.000000      3.52624   -1.#IND0   -1.#IND0    4
   2   10  -15   0.894780    -4.278834     0.000000      4.27883   -1.#IND0   -1.#IND0    4
   8    7    0   0.894418    -7.007029     0.000000      7.00703   -1.#IND0   -1.#IND0    4
   9    2   -4   0.894304    22.734693     0.000000      22.7347   -1.#IND0   -1.#IND0    4
   7    2  -15   0.894111     8.679816    -0.000000      8.67982   -1.#IND0   -1.#IND0    4
   9    2   -8   0.893993    16.119565     0.000000      16.1196   -1.#IND0   -1.#IND0    4
   2   19    2   0.893948     0.330959    -0.000000     0.330959   -1.#IND0   -1.#IND0    4
   8    5  -12   0.893946     0.444677    -0.000000     0.444677   -1.#IND0   -1.#IND0    4
   7    5    5   0.893896     7.348682     0.000000      7.34868   -1.#IND0   -1.#IND0    4
   0   18    7   0.893892     4.987410     0.000000      4.98741   -1.#IND0   -1.#IND0    4
   1   17   -9   0.893786    12.007217    -0.000000      12.0072   -1.#IND0   -1.#IND0    4
   3    8   12   0.893688    10.209507    -0.000000      10.2095   -1.#IND0   -1.#IND0    4
   6   15   -4   0.893668    -9.316811     0.000000      9.31681   -1.#IND0   -1.#IND0    4
   8    2  -13   0.893635     0.248423     0.000000     0.248423   -1.#IND0   -1.#IND0    4
   9    3   -5   0.893596     2.859249     0.000000      2.85925   -1.#IND0   -1.#IND0    4
   8    8   -1   0.893568     0.910801    -0.000000     0.910801   -1.#IND0   -1.#IND0    4
   4    4  -17   0.893539     6.415541    -0.000000      6.41554   -1.#IND0   -1.#IND0    4
   9    3   -7   0.893440   -12.954085    -0.000000      12.9541   -1.#IND0   -1.#IND0    4
   8    9   -8   0.893386    -9.215867     0.000000      9.21587   -1.#IND0   -1.#IND0    4
   0    8   15   0.893334   -18.213702     0.000000      18.2137   -1.#IND0   -1.#IND0    4
   7   11  -10   0.893220    15.770302    -0.000000      15.7703   -1.#IND0   -1.#IND0    4
   5    1  -17   0.893104    19.221243     0.000000      19.2212   -1.#IND0   -1.#IND0    4
   3    8  -16   0.892962    15.950264     0.000000      15.9503   -1.#IND0   -1.#IND0    4
   4   17    2   0.892894    -4.965309     0.000000      4.96531   -1.#IND0   -1.#IND0    4
   7   12   -1   0.892866     3.543082    -0.000000      3.54308   -1.#IND0   -1.#IND0    4
   5    4   10   0.892382    11.752320    -0.000000      11.7523   -1.#IND0   -1.#IND0    4
   5   11    7   0.892350    -4.724443    -0.000000      4.72444   -1.#IND0   -1.#IND0    4
   4   16    4   0.892347     7.503078    -0.000000      7.50308   -1.#IND0   -1.#IND0    4
   1   19    4   0.892270     4.983736    -0.000000      4.98374   -1.#IND0   -1.#IND0    4
   0   19    5   0.892231   -11.166430     0.000000      11.1664   -1.#IND0   -1.#IND0    4
   1   15   10   0.892133    17.397864     0.000000      17.3979   -1.#IND0   -1.#IND0    4
   6   15   -3   0.892057    -1.075976     0.000000      1.07598   -1.#IND0   -1.#IND0    4
   6   15   -5   0.891954    -3.534401     0.000000       3.5344   -1.#IND0   -1.#IND0    4
   4    2   12   0.891948    15.474422    -0.000000      15.4744   -1.#IND0   -1.#IND0    4
   4   11    9   0.891763     2.866217    -0.000000      2.86622   -1.#IND0   -1.#IND0    4
   2    4  -17   0.891561    -5.758505    -0.000000      5.75851   -1.#IND0   -1.#IND0    4
   1   16    9   0.891112     4.711455     0.000000      4.71146   -1.#IND0   -1.#IND0    4
   1   13  -13   0.891111     8.530800     0.000000       8.5308   -1.#IND0   -1.#IND0    4
   7   10    2   0.890939     8.426453    -0.000000      8.42645   -1.#IND0   -1.#IND0    4
   7    6  -14   0.890927     7.155323     0.000000      7.15532   -1.#IND0   -1.#IND0    4
   6    7    7   0.890772    -2.497414     0.000000      2.49741   -1.#IND0   -1.#IND0    4
   5   13  -12   0.890272    -7.246862     0.000000      7.24686   -1.#IND0   -1.#IND0    4
   3   12   10   0.890237     9.831099    -0.000000       9.8311   -1.#IND0   -1.#IND0    4
   0   20    0   0.890000     6.416820    -0.000000      6.41682   -1.#IND0   -1.#IND0    2
   2   19   -5   0.889960    -0.256487    -0.000000     0.256487   -1.#IND0   -1.#IND0    4
   5    2  -17   0.889750   -15.884432     0.000000      15.8844   -1.#IND0   -1.#IND0    4
   8    6    1   0.889706     4.374101    -0.000000       4.3741   -1.#IND0   -1.#IND0    4
   6    9    6   0.889698     6.713151    -0.000000      6.71315   -1.#IND0   -1.#IND0    4
   6    4    8   0.889663     8.676885    -0.000000      8.67689   -1.#IND0   -1.#IND0    4
   6    7  -15   0.889644     3.461218    -0.000000      3.46122   -1.#IND0   -1.#IND0    4
   3   12  -14   0.889622     6.354867    -0.000000      6.35487   -1.#IND0   -1.#IND0    4
   8    4    2   0.889521     5.401978    -0.000000      5.40198   -1.#IND0   -1.#IND0    4
   9    1   -3   0.889455    11.707181     0.000000      11.7072   -1.#IND0   -1.#IND0    4
   4   18   -3   0.889449     2.193350    -0.000000      2.19335   -1.#IND0   -1.#IND0    4
   3    5   13   0.889327     8.242082     0.000000      8.24208   -1.#IND0   -1.#IND0    4
   2   12  -14   0.889170    16.489753     0.000000      16.4898   -1.#IND0   -1.#IND0    4
   1    1  -17   0.889166    -8.786398    -0.000000       8.7864   -1.#IND0   -1.#IND0    4
   9    1   -9   0.888995     6.848532     0.000000      6.84853   -1.#IND0   -1.#IND0    4
   4   18   -2   0.888935    15.197573    -0.000000      15.1976   -1.#IND0   -1.#IND0    4
   7    8  -13   0.888928    12.733636     0.000000      12.7336   -1.#IND0   -1.#IND0    4
   9    3   -4   0.888714     4.610389     0.000000      4.61039   -1.#IND0   -1.#IND0    4
   6    9  -14   0.888676   -10.890785    -0.000000      10.8908   -1.#IND0   -1.#IND0    4
   3    5  -17   0.888561    -0.261097     0.000000     0.261097   -1.#IND0   -1.#IND0    4
   7    9    3   0.888537    -1.456777    -0.000000      1.45678   -1.#IND0   -1.#IND0    4
   7    3  -15   0.888524   -15.553388    -0.000000      15.5534   -1.#IND0   -1.#IND0    4
   4    7   11   0.888503     9.152584     0.000000      9.15258   -1.#IND0   -1.#IND0    4
   6    4  -16   0.888437    22.562801     0.000000      22.5628   -1.#IND0   -1.#IND0    4
   9    3   -8   0.888408    -6.958970    -0.000000      6.95897   -1.#IND0   -1.#IND0    4
   0   20    1   0.888358    -5.769300     0.000000       5.7693   -1.#IND0   -1.#IND0    4
   4   14  -12   0.888292    -1.905646    -0.000000      1.90565   -1.#IND0   -1.#IND0    4
   7    0    6   0.888267     1.627531     0.000000      1.62753   -1.#IND0   -1.#IND0    2
   2    8  -16   0.888127    17.764989     0.000000       17.765   -1.#IND0   -1.#IND0    4
   8    3  -13   0.888057    -7.149746    -0.000000      7.14975   -1.#IND0   -1.#IND0    4
   8    8  -10   0.887999    15.693377     0.000000      15.6934   -1.#IND0   -1.#IND0    4
   4   10  -15   0.887962     4.111041     0.000000      4.11104   -1.#IND0   -1.#IND0    4
   1    7  -16   0.887923     4.130030     0.000000      4.13003   -1.#IND0   -1.#IND0    4
   5   12  -13   0.887861    -5.961682    -0.000000      5.96168   -1.#IND0   -1.#IND0    4
   7   11    1   0.887831     3.824501     0.000000       3.8245   -1.#IND0   -1.#IND0    4
   2   15    9   0.887825     2.266179    -0.000000      2.26618   -1.#IND0   -1.#IND0    4
   1   11   13   0.887659     3.536131     0.000000      3.53613   -1.#IND0   -1.#IND0    4
   1   14   11   0.887632     2.408946     0.000000      2.40895   -1.#IND0   -1.#IND0    4
   5    9  -15   0.887611     4.359317    -0.000000      4.35932   -1.#IND0   -1.#IND0    4
   8    7  -11   0.887606    -6.468109     0.000000      6.46811   -1.#IND0   -1.#IND0    4
   2   18    5   0.887396    -3.286826    -0.000000      3.28683   -1.#IND0   -1.#IND0    4
   9    4   -6   0.887368     1.272156    -0.000000      1.27216   -1.#IND0   -1.#IND0    4
   8    9   -2   0.887203    -9.208725     0.000000      9.20872   -1.#IND0   -1.#IND0    4
   5   14  -11   0.887185    14.235409    -0.000000      14.2354   -1.#IND0   -1.#IND0    4
   6   15   -2   0.887175   -17.093855    -0.000000      17.0939   -1.#IND0   -1.#IND0    4
   7    1    6   0.887163     0.726209     0.000000     0.726209   -1.#IND0   -1.#IND0    4
   6   15   -6   0.886972    -0.128727     0.000000     0.128727   -1.#IND0   -1.#IND0    4
   2    6   14   0.886868     9.957657    -0.000000      9.95766   -1.#IND0   -1.#IND0    4
   5   16    1   0.886815    -2.529987    -0.000000      2.52999   -1.#IND0   -1.#IND0    4
   7   13   -5   0.886773    -3.852713    -0.000000      3.85271   -1.#IND0   -1.#IND0    4
   4   18   -4   0.886688    16.167336    -0.000000      16.1673   -1.#IND0   -1.#IND0    4
   2   11   12   0.886678     0.953033     0.000000     0.953033   -1.#IND0   -1.#IND0    4
   4    3   12   0.886401    -4.136017     0.000000      4.13602   -1.#IND0   -1.#IND0    4
   7   13   -4   0.886290    -0.416182     0.000000     0.416182   -1.#IND0   -1.#IND0    4
   5   15    3   0.886267     1.251782    -0.000000      1.25178   -1.#IND0   -1.#IND0    4
   9    2   -3   0.886143    -1.896014     0.000000      1.89601   -1.#IND0   -1.#IND0    4
   4   13  -13   0.885935    13.359563     0.000000      13.3596   -1.#IND0   -1.#IND0    4
   1    2  -17   0.885857     4.546796     0.000000       4.5468   -1.#IND0   -1.#IND0    4
   9    4   -5   0.885816     0.178587     0.000000     0.178587   -1.#IND0   -1.#IND0    4
   3   18    3   0.885783    -1.010728     0.000000      1.01073   -1.#IND0   -1.#IND0    4
   4    8  -16   0.885739    16.873156     0.000000      16.8732   -1.#IND0   -1.#IND0    4
   2   16    8   0.885726    12.404606    -0.000000      12.4046   -1.#IND0   -1.#IND0    4
   0    5   16   0.885690    -2.904581    -0.000000      2.90458   -1.#IND0   -1.#IND0    4
   9    2   -9   0.885688     5.427746     0.000000      5.42775   -1.#IND0   -1.#IND0    4
   9    4   -7   0.885665    -2.850154     0.000000      2.85015   -1.#IND0   -1.#IND0    4
   1    6   15   0.885660     1.667036     0.000000      1.66704   -1.#IND0   -1.#IND0    4
   3   19   -2   0.885659     3.747159    -0.000000      3.74716   -1.#IND0   -1.#IND0    4
   2    9   13   0.885653    -1.263122    -0.000000      1.26312   -1.#IND0   -1.#IND0    4
   0   16   10   0.885573    18.625309     0.000000      18.6253   -1.#IND0   -1.#IND0    4
   1    9   14   0.885538     8.326702    -0.000000       8.3267   -1.#IND0   -1.#IND0    4
   3   18   -7   0.885530     4.235550    -0.000000      4.23555   -1.#IND0   -1.#IND0    4
   0   15   11   0.885484     2.976016     0.000000      2.97602   -1.#IND0   -1.#IND0    4
   3   17    5   0.885261     6.928836    -0.000000      6.92884   -1.#IND0   -1.#IND0    4
   4   15  -11   0.885187    -7.663190     0.000000      7.66319   -1.#IND0   -1.#IND0    4
   4   18   -1   0.885165     0.286684     0.000000     0.286684   -1.#IND0   -1.#IND0    4
   6   14    1   0.885041    12.517440    -0.000000      12.5174   -1.#IND0   -1.#IND0    4
   3   17   -9   0.884908     5.395453    -0.000000      5.39545   -1.#IND0   -1.#IND0    4
   1   17    8   0.884626   -12.894789    -0.000000      12.8948   -1.#IND0   -1.#IND0    4
   1   20   -1   0.884558    -9.159222     0.000000      9.15922   -1.#IND0   -1.#IND0    4
   6   14   -9   0.884538    -4.684063    -0.000000      4.68406   -1.#IND0   -1.#IND0    4
   2   14   10   0.884472    15.938495    -0.000000      15.9385   -1.#IND0   -1.#IND0    4
   5    3  -17   0.884244     9.449963     0.000000      9.44996   -1.#IND0   -1.#IND0    4
   3   19   -1   0.884066   -11.906185     0.000000      11.9062   -1.#IND0   -1.#IND0    4
   1   20    0   0.884028    17.605403    -0.000000      17.6054   -1.#IND0   -1.#IND0    4
   8   10   -5   0.884021     1.908025    -0.000000      1.90802   -1.#IND0   -1.#IND0    4
   3   19   -3   0.884016    -1.815728     0.000000      1.81573   -1.#IND0   -1.#IND0    4
   7   13   -6   0.884012     3.975505    -0.000000      3.97551   -1.#IND0   -1.#IND0    4
   7    2    6   0.883876     0.700926     0.000000     0.700926   -1.#IND0   -1.#IND0    4
   7   12   -9   0.883661     3.981566    -0.000000      3.98157   -1.#IND0   -1.#IND0    4
   4    5  -17   0.883576    -6.812451    -0.000000      6.81245   -1.#IND0   -1.#IND0    4
   0   20    2   0.883486    14.993563    -0.000000      14.9936   -1.#IND0   -1.#IND0    4
   8   10   -6   0.883417     8.373066    -0.000000      8.37307   -1.#IND0   -1.#IND0    4
   5    7  -16   0.883170     1.626094     0.000000      1.62609   -1.#IND0   -1.#IND0    4
   8    9   -9   0.882954     8.274445     0.000000      8.27444   -1.#IND0   -1.#IND0    4
   7   13   -3   0.882578     2.482028     0.000000      2.48203   -1.#IND0   -1.#IND0    4
   5    5   10   0.882457    -9.015640     0.000000      9.01564   -1.#IND0   -1.#IND0    4
   1   20   -2   0.881867     1.969548    -0.000000      1.96955   -1.#IND0   -1.#IND0    4
   8    6  -12   0.881797    -1.786068    -0.000000      1.78607   -1.#IND0   -1.#IND0    4
   7    6    5   0.881749    -9.555358    -0.000000      9.55536   -1.#IND0   -1.#IND0    4
   4   17   -8   0.881679    10.406015    -0.000000       10.406   -1.#IND0   -1.#IND0    4
   2    5  -17   0.881663    12.497028     0.000000       12.497   -1.#IND0   -1.#IND0    4
   5   16   -8   0.881594    21.050033    -0.000000        21.05   -1.#IND0   -1.#IND0    4
   2   19    3   0.881440    -1.300045     0.000000      1.30004   -1.#IND0   -1.#IND0    4
   8   10   -4   0.881410     5.902000    -0.000000        5.902   -1.#IND0   -1.#IND0    4
   1   19   -6   0.881327   -15.224205    -0.000000      15.2242   -1.#IND0   -1.#IND0    4
   5    8    9   0.881321    -5.083726     0.000000      5.08373   -1.#IND0   -1.#IND0    4
   9    4   -4   0.881060     9.724754     0.000000      9.72475   -1.#IND0   -1.#IND0    4
   7    4  -15   0.880875     6.436776     0.000000      6.43678   -1.#IND0   -1.#IND0    4
   5   17   -3   0.880796    -3.996771    -0.000000      3.99677   -1.#IND0   -1.#IND0    4
   1   18   -8   0.880776     0.087009     0.000000     0.087009   -1.#IND0   -1.#IND0    4
   9    4   -8   0.880762    15.313569     0.000000      15.3136   -1.#IND0   -1.#IND0    4
   7    8    4   0.880757    18.111462    -0.000000      18.1115   -1.#IND0   -1.#IND0    4
   4   18   -5   0.880744    -7.110406     0.000000      7.11041   -1.#IND0   -1.#IND0    4
   9    3   -3   0.880703    15.119131     0.000000      15.1191   -1.#IND0   -1.#IND0    4
   8    1    3   0.880630     6.975166    -0.000000      6.97517   -1.#IND0   -1.#IND0    4
   1    3  -17   0.880422   -10.604443     0.000000      10.6044   -1.#IND0   -1.#IND0    4
   8    4  -13   0.880420    -7.271520     0.000000      7.27152   -1.#IND0   -1.#IND0    4
   1   20    1   0.880295    -1.839075     0.000000      1.83908   -1.#IND0   -1.#IND0    4
   0   17    9   0.880275    -0.775927    -0.000000     0.775927   -1.#IND0   -1.#IND0    4
   9    3   -9   0.880256    -5.755382    -0.000000      5.75538   -1.#IND0   -1.#IND0    4
   5   10    8   0.880233    -2.247664    -0.000000      2.24766   -1.#IND0   -1.#IND0    4
   5   17   -4   0.880223    11.254225     0.000000      11.2542   -1.#IND0   -1.#IND0    4
   1   10  -15   0.880200    -5.378466     0.000000      5.37847   -1.#IND0   -1.#IND0    4
   2   18   -8   0.880192    -7.303878     0.000000      7.30388   -1.#IND0   -1.#IND0    4
   5   11  -14   0.880086     2.477601     0.000000       2.4776   -1.#IND0   -1.#IND0    4
   0   14   12   0.880010     7.784201     0.000000       7.7842   -1.#IND0   -1.#IND0    4
   6    5    8   0.879827    -5.998994    -0.000000      5.99899   -1.#IND0   -1.#IND0    4
   8    5    2   0.879690     8.114023    -0.000000      8.11402   -1.#IND0   -1.#IND0    4
   8   10   -7   0.879617     5.109032    -0.000000      5.10903   -1.#IND0   -1.#IND0    4
   7   12    0   0.879384    13.748247    -0.000000      13.7482   -1.#IND0   -1.#IND0    4
   9    0   -2   0.879314     0.516101    -0.000000     0.516101   -1.#IND0   -1.#IND0    2
   3   19    0   0.879288     3.991247     0.000000      3.99125   -1.#IND0   -1.#IND0    4
   3   19   -4   0.879190    -8.538173     0.000000      8.53817   -1.#IND0   -1.#IND0    4
   6   15   -1   0.879181     0.339015     0.000000     0.339015   -1.#IND0   -1.#IND0    4
   6   12    4   0.878993    14.128998    -0.000000       14.129   -1.#IND0   -1.#IND0    4
   6   15   -7   0.878884   -13.505938     0.000000      13.5059   -1.#IND0   -1.#IND0    4
   4    4   12   0.878807     7.331117    -0.000000      7.33112   -1.#IND0   -1.#IND0    4
   5   15  -10   0.878769     6.067382    -0.000000      6.06738   -1.#IND0   -1.#IND0    4
   4   14    7   0.878725   -18.289426     0.000000      18.2894   -1.#IND0   -1.#IND0    4
   9    0  -10   0.878721    16.976581     0.000000      16.9766   -1.#IND0   -1.#IND0    2
   6    5  -16   0.878642   -10.673101    -0.000000      10.6731   -1.#IND0   -1.#IND0    4
   7    3    6   0.878477    -0.303345     0.000000     0.303345   -1.#IND0   -1.#IND0    4
   2   17    7   0.878291     4.201083    -0.000000      4.20108   -1.#IND0   -1.#IND0    4
   4   18    0   0.878261    20.021681    -0.000000      20.0217   -1.#IND0   -1.#IND0    4
   4   12  -14   0.878246    13.830997     0.000000       13.831   -1.#IND0   -1.#IND0    4
   9    1   -2   0.878243    -5.441638    -0.000000      5.44164   -1.#IND0   -1.#IND0    4
   6   12  -12   0.878205    19.611410     0.000000      19.6114   -1.#IND0   -1.#IND0    4
   5   17   -2   0.878189    -0.107342    -0.000000     0.107342   -1.#IND0   -1.#IND0    4
   7   13   -7   0.878097     4.235329    -0.000000      4.23533   -1.#IND0   -1.#IND0    4
   8    8    0   0.877947     7.876939     0.000000      7.87694   -1.#IND0   -1.#IND0    4
   0   11   14   0.877905   -19.115568    -0.000000      19.1156   -1.#IND0   -1.#IND0    4
   1   13   12   0.877854    -8.168320    -0.000000      8.16832   -1.#IND0   -1.#IND0    4
   9    1  -10   0.877652    -2.888427     0.000000      2.88843   -1.#IND0   -1.#IND0    4
   9    5   -6   0.877607     3.710645    -0.000000      3.71065   -1.#IND0   -1.#IND0    4
   8    2    3   0.877415     2.133254    -0.000000      2.13325   -1.#IND0   -1.#IND0    4
   3    6   13   0.877363    -4.799434    -0.000000      4.79943   -1.#IND0   -1.#IND0    4
   1   12  -14   0.876944    16.000846    -0.000000      16.0008   -1.#IND0   -1.#IND0    4
   4   16  -10   0.876792    16.505083    -0.000000      16.5051   -1.#IND0   -1.#IND0    4
   7    7  -14   0.876765     0.724686    -0.000000     0.724686   -1.#IND0   -1.#IND0    4
   6   11    5   0.876735     0.908160    -0.000000      0.90816   -1.#IND0   -1.#IND0    4
   5    4  -17   0.876704    -9.103815    -0.000000      9.10381   -1.#IND0   -1.#IND0    4
   4   15    6   0.876702     9.534657     0.000000      9.53466   -1.#IND0   -1.#IND0    4
   3    6  -17   0.876628    -4.062783     0.000000      4.06278   -1.#IND0   -1.#IND0    4
   2   19   -6   0.876534    -0.263364     0.000000     0.263364   -1.#IND0   -1.#IND0    4
   5   17   -5   0.876489     0.344139    -0.000000     0.344139   -1.#IND0   -1.#IND0    4
   2   15  -12   0.876257    -9.647668     0.000000      9.64767   -1.#IND0   -1.#IND0    4
   4   17    3   0.876226     7.903829    -0.000000      7.90383   -1.#IND0   -1.#IND0    4
   9    5   -5   0.876106    -2.334923     0.000000      2.33492   -1.#IND0   -1.#IND0    4
   1   20   -3   0.876044     7.103291     0.000000      7.10329   -1.#IND0   -1.#IND0    4
   6   13    3   0.875960    -9.856169     0.000000      9.85617   -1.#IND0   -1.#IND0    4
   9    5   -7   0.875960     1.985119     0.000000      1.98512   -1.#IND0   -1.#IND0    4
   6   11  -13   0.875855    -6.216158    -0.000000      6.21616   -1.#IND0   -1.#IND0    4
   2   13   11   0.875850     0.362048     0.000000     0.362048   -1.#IND0   -1.#IND0    4
   7   13   -2   0.875758    10.792257    -0.000000      10.7923   -1.#IND0   -1.#IND0    4
   8   10   -3   0.875669     3.434123    -0.000000      3.43412   -1.#IND0   -1.#IND0    4
   1   19    5   0.875612    -2.462534    -0.000000      2.46253   -1.#IND0   -1.#IND0    4
   8    7    1   0.875601    -7.596464     0.000000      7.59646   -1.#IND0   -1.#IND0    4
   0   20    3   0.875541     0.865862    -0.000000     0.865862   -1.#IND0   -1.#IND0    4
   4   13    8   0.875462   -17.932113    -0.000000      17.9321   -1.#IND0   -1.#IND0    4
   4   10   10   0.875452     6.525013    -0.000000      6.52501   -1.#IND0   -1.#IND0    4
   2   16  -11   0.875314     5.118796    -0.000000       5.1188   -1.#IND0   -1.#IND0    4
   6   13  -11   0.875277     3.404970    -0.000000      3.40497   -1.#IND0   -1.#IND0    4
   3    9   12   0.875133    12.542556     0.000000      12.5426   -1.#IND0   -1.#IND0    4
   7   10  -12   0.875114    11.169793    -0.000000      11.1698   -1.#IND0   -1.#IND0    4
   3   11   11   0.875069    -0.380040    -0.000000      0.38004   -1.#IND0   -1.#IND0    4
   9    2   -2   0.875053    10.809910     0.000000      10.8099   -1.#IND0   -1.#IND0    4
   8    9   -1   0.875021    -2.502349     0.000000      2.50235   -1.#IND0   -1.#IND0    4
   0    9   15   0.874801    -8.673328     0.000000      8.67333   -1.#IND0   -1.#IND0    4
   0   19    6   0.874523     7.969203     0.000000       7.9692   -1.#IND0   -1.#IND0    4
   6    8    7   0.874498    -3.443444    -0.000000      3.44344   -1.#IND0   -1.#IND0    4
   9    2  -10   0.874469    14.427608     0.000000      14.4276   -1.#IND0   -1.#IND0    4
   3    9  -16   0.874452    -2.497825    -0.000000      2.49783   -1.#IND0   -1.#IND0    4
   3   11  -15   0.874437    -4.986639     0.000000      4.98664   -1.#IND0   -1.#IND0    4
   7   11  -11   0.874355   -11.508619     0.000000      11.5086   -1.#IND0   -1.#IND0    4
   2    1   15   0.874100   -13.677515     0.000000      13.6775   -1.#IND0   -1.#IND0    4
   0    6   16   0.873870    -7.304626     0.000000      7.30463   -1.#IND0   -1.#IND0    4
   1   20    2   0.873479     6.702206    -0.000000      6.70221   -1.#IND0   -1.#IND0    4
   6    8  -15   0.873431     5.521344     0.000000      5.52134   -1.#IND0   -1.#IND0    4
   9    4   -3   0.873252    -0.119437    -0.000000     0.119437   -1.#IND0   -1.#IND0    4
   1   18    7   0.873024    -5.773576     0.000000      5.77358   -1.#IND0   -1.#IND0    4
   3   15    8   0.873022     1.138231    -0.000000      1.13823   -1.#IND0   -1.#IND0    4
   1    4  -17   0.872979    11.827102    -0.000000      11.8271   -1.#IND0   -1.#IND0    4
   1    0   16   0.872950     1.261591    -0.000000      1.26159   -1.#IND0   -1.#IND0    2
   2    7   14   0.872895    -3.409468    -0.000000      3.40947   -1.#IND0   -1.#IND0    4
   9    4   -9   0.872817     0.690435     0.000000     0.690435   -1.#IND0   -1.#IND0    4
   8   10   -8   0.872744    21.145427    -0.000000      21.1454   -1.#IND0   -1.#IND0    4
   3   15  -12   0.872539    -5.177804     0.000000       5.1778   -1.#IND0   -1.#IND0    4
   5   17   -1   0.872485     3.113649     0.000000      3.11365   -1.#IND0   -1.#IND0    4
